iteration,total,bc,pde,supervised
1,1978.7452,1.7023073,94.21073,0.31978872
100,38.469055,1.3027457,1.8188723,0.27273405
200,9.937654,0.6498885,0.46179292,0.24000299
300,4.8918533,0.8182595,0.22110409,0.24866772
400,3.0286016,1.0377374,0.13195759,0.2574922
500,2.028361,1.1475378,0.08420137,0.2601321
600,1.4121985,1.176862,0.054941945,0.25841767
700,1.0333722,1.1677508,0.03703839,0.255566
800,0.805653,1.1428406,0.026342599,0.2524584
900,0.66869354,1.112636,0.019970939,0.24930382
1000,0.58365315,1.0824851,0.016067281,0.24624026
1100,0.5273644,1.05511,0.013520169,0.2434408
1200,0.48623908,1.0322331,0.01168864,0.24077763
1300,0.45356482,1.0142922,0.010240628,0.2385116
1400,0.42590487,1.0007212,0.009011934,0.23665425
1500,0.40110463,0.9911335,0.007917445,0.23483826
1600,0.37923312,0.98446685,0.006946477,0.23335712
1700,0.44910252,0.97933066,0.010464226,0.22935377
1800,0.33855426,0.9772724,0.005246969,0.22836792
1900,131.38486,0.98326033,6.245621,0.22680019
2000,0.3124362,0.97458375,0.0042070537,0.22408807
2100,0.2971288,0.9747431,0.0035166035,0.22328013
2200,0.28860858,0.9733543,0.0032729947,0.2198757
2300,0.27570188,0.9743397,0.0026770202,0.21948445
2400,187.21127,0.98095715,8.904382,0.21925136
2500,0.2615126,0.97457576,0.0021707998,0.21592581
2600,0.25460815,0.9754536,0.0018616366,0.2155138
2700,0.793272,0.97386265,0.027645977,0.21270648
2800,0.24290946,0.9760775,0.0014626458,0.21219389
2900,364.5943,0.9695229,17.351578,0.21117909
3000,0.24033436,0.9760061,0.0014946152,0.20894744
3100,0.23125605,0.9771127,0.0010807302,0.20856072
3200,31.738379,0.98467654,1.5015186,0.20648813
3300,0.2255157,0.9776157,0.000963873,0.20527436
3400,0.22262642,0.9780421,0.0008408412,0.20496875
3500,3.9681027,0.9796976,0.17932661,0.20224383
3600,0.21723565,0.9784366,0.0007259077,0.20199159
3700,0.21712252,0.9785505,0.0007307751,0.20177625
3800,0.2121373,0.9749781,0.000650135,0.19848447
3900,0.21114554,0.9789869,0.00060479675,0.1984448
4000,34.260254,0.9769241,1.6220096,0.19805028
4100,0.22173642,0.97777873,0.001252365,0.19543675
4200,0.20638748,0.9791665,0.0005322097,0.19521107
4300,5.6159887,0.9809084,0.25825083,0.19272119
4400,0.20280595,0.9791306,0.00050193584,0.1922653
4500,0.20359151,0.9790106,0.00055060966,0.1920287
4600,0.20847788,0.97427154,0.0009152868,0.18925686
4700,0.1986526,0.97860855,0.00044224277,0.18936549
4800,56.59705,0.99322474,2.686135,0.1882127
4900,0.19674271,0.9780439,0.0004927263,0.18639547
5000,0.19460241,0.9779984,0.0004033337,0.1861324
5100,1.313842,0.969338,0.053825784,0.18350048
5200,0.19136375,0.97756404,0.00037954486,0.18339331
5300,3.1408737,0.97672635,0.14084867,0.18305153
5400,0.18996991,0.9751658,0.00043277018,0.18088174
5500,0.18827443,0.9764443,0.00035821472,0.18075192
5600,1.8938634,0.970942,0.081710465,0.17794369
5700,0.18513173,0.9759614,0.00033643894,0.1780665
5800,0.24103206,0.9753872,0.0030044308,0.17793901
5900,0.22855845,0.9721827,0.0025265587,0.17550072
6000,0.1818123,0.9747683,0.00031014116,0.17529933
6100,114.41274,0.9772114,5.4399357,0.17409644
6200,0.1791872,0.9738039,0.0003125632,0.17262337
6300,0.178549,0.97351885,0.00028990363,0.17246103
6400,2.5087743,0.9734799,0.1113451,0.1705272
6500,0.1764141,0.97281826,0.00027812587,0.17057346
6600,215.25136,0.9793683,10.241958,0.17024215
6700,0.17589992,0.97206545,0.00037367482,0.16805275
6800,0.17335372,0.97153693,0.00025610783,0.16797546
6900,1.7068121,0.9635674,0.073401675,0.16537707
7000,0.1704859,0.97131026,0.00024249889,0.16539343
7100,0.17014371,0.9703638,0.00023752337,0.16515572
7200,2.9619915,0.9758261,0.13325727,0.16358876
7300,0.168209,0.97008,0.00023694808,0.16323309
7400,4.0219207,0.9701737,0.18376097,0.16294006
7500,0.18345267,0.96887517,0.0010621189,0.16114818
7600,0.16547191,0.9689447,0.00021252249,0.16100894
7700,2.2075932,0.9677278,0.09752045,0.15966357
7800,0.16350764,0.96855354,0.00020249169,0.15925531
7900,11.568508,0.97373307,0.5433256,0.15867028
8000,0.16375956,0.9685201,0.00031177967,0.15721218
8100,0.16100381,0.9673496,0.00019218367,0.15696795
8200,8.449791,0.97920996,0.39492026,0.15646571
8300,0.15951674,0.9672086,0.00019188345,0.15548718
8400,0.6217338,0.96644384,0.022217818,0.1551596
8500,0.16133367,0.9662088,0.0003610922,0.15375073
8600,0.15726614,0.96592534,0.00017680405,0.15355325
8700,1.3639038,0.9623739,0.057710256,0.15198842
8800,0.15557162,0.9658094,0.00016876058,0.15202765
8900,0.3686787,0.96492296,0.010328307,0.15178426
9000,0.1536233,0.96548194,0.0001679897,0.15009551
9100,0.15323034,0.96486765,0.00016086822,0.14985211
9200,0.15676281,0.96386516,0.00033636705,0.1496991
9300,0.23920348,0.9641445,0.0043344027,0.14818104
9400,0.15152916,0.96402204,0.00015705524,0.148231
9500,47.80875,0.9638306,2.2695777,0.14761797
9600,0.15178226,0.96455026,0.00022998295,0.14695261
9700,0.5588354,0.9631654,0.019619113,0.146834
9800,0.1643069,0.9642609,0.0008988453,0.14543115
9900,0.14850244,0.9629405,0.00015727038,0.14519976
10000,0.4685645,0.9634853,0.015446722,0.14418335
10100,0.14686236,0.9631262,0.00014146543,0.14389159
10200,197.90115,0.95871395,9.417027,0.14356565
