iteration,total,bc,pde,supervised
1,8.501751,1.5393597,0.34111556,1.3383243
100,1.3401163,0.7635829,0.004315122,1.2494987
200,1.2409283,0.6660325,0.004894998,1.1381333
300,0.9854906,0.4500476,0.005121135,0.8779468
400,0.588152,1.0626701,0.0039625424,0.5049386
500,0.47231534,1.9775447,0.0022876505,0.42427468
600,0.4468736,2.5156946,0.0024602688,0.39520797
700,0.41253522,2.9101875,0.0016519956,0.37784332
800,0.3930705,3.193743,0.0015244585,0.36105686
900,0.3761874,3.5029857,0.0013552704,0.34772673
1000,0.38144535,3.8552663,0.0016751253,0.3462677
1100,0.35506362,3.9921234,0.001147786,0.33096012
1200,0.3542935,4.3766522,0.0010398811,0.332456
1300,0.3449674,4.5367064,0.0009184979,0.32567894
1400,0.3472167,4.72184,0.00086905016,0.32896665
1500,0.34185106,4.7987127,0.00088636286,0.32323745
1600,0.33717835,5.0312653,0.0007046431,0.32238084
1700,0.33530813,5.1651,0.00076342403,0.31927624
1800,0.33197615,5.234698,0.00076676684,0.31587404
1900,0.3246653,5.18871,0.0006981843,0.31000343
2000,0.32670927,5.3636866,0.00059949,0.31412
2100,0.3413003,5.329477,0.0014136945,0.31161273
2200,0.32409966,5.3497543,0.0005778743,0.3119643
2300,0.31514496,5.229027,0.0005947865,0.30265445
2400,0.31343064,5.2863894,0.000540206,0.30208632
2500,0.315329,5.281544,0.0005345759,0.3041029
2600,0.31066102,5.135669,0.000687775,0.29621774
2700,0.3128649,5.2629037,0.0005804479,0.30067548
2800,0.31342292,5.1137714,0.000789575,0.29684183
2900,0.3088961,5.21144,0.0006042459,0.29620692
3000,0.31412303,5.1644506,0.0006389921,0.3007042
3100,0.31300655,5.185413,0.0006794084,0.298739
3200,0.3076578,5.138449,0.000633896,0.294346
3300,0.30323946,5.120577,0.0006851698,0.2888509
3400,0.31087634,5.209356,0.0007079901,0.29600856
3500,0.31120646,5.1131153,0.000768479,0.2950684
3600,0.3050831,5.090361,0.00073498033,0.2896485
3700,0.3082213,4.9802814,0.000959391,0.2880741
3800,0.30345294,4.982961,0.0008794671,0.28498414
3900,0.31891066,4.9598446,0.0014896564,0.28762788
4000,0.30633676,4.9812636,0.0009357501,0.286686
4100,0.2984827,4.870704,0.0009675066,0.27816504
4200,0.2945875,4.6605024,0.0010465387,0.2726102
4300,0.28928277,4.5627847,0.0011906793,0.2642785
4400,0.28298414,4.3108644,0.0014030433,0.25352022
