iteration,total,bc,pde,supervised
1,3048.573,1.7844876,145.15358,0.34794664
100,33.69568,1.0671288,1.5904999,0.2951796
200,7.883872,1.3526,0.361901,0.28395128
300,4.378566,1.191694,0.19559236,0.27112627
400,2.7067788,1.0649035,0.11630854,0.26429933
500,1.7458229,1.0227809,0.07063126,0.2625665
600,1.2035884,1.0226853,0.04474575,0.2639276
700,0.91573566,1.0350717,0.03093578,0.2660843
800,0.7515032,1.0466087,0.023103219,0.26633564
900,0.65914077,1.0531168,0.018728476,0.26584277
1000,0.601459,1.0549517,0.016009435,0.26526085
1100,0.55356216,1.0534948,0.013854139,0.26262528
1200,0.5177729,1.050178,0.012205384,0.2614599
1300,0.482257,1.045757,0.010646808,0.25867403
1400,54.127823,1.0463054,2.5652947,0.25663236
1500,0.46915504,1.0384026,0.010310834,0.25262752
1600,12.893137,1.0367521,0.6021107,0.24881306
1700,0.37481064,1.0313458,0.0060947607,0.24682066
1800,2.0057893,1.0285839,0.08386299,0.24466644
1900,0.3456285,1.0262059,0.0049565653,0.24154064
2000,0.66725147,1.0233595,0.020368176,0.23951976
2100,46.683414,1.0187849,2.2117038,0.23763812
2200,0.3275876,1.020218,0.0043762894,0.23568553
2300,0.4396382,1.0206404,0.009867465,0.23242144
2400,79.24343,1.02252,3.762481,0.23133217
2500,0.28628978,1.0172042,0.002733062,0.22889549
2600,0.7891377,1.0129391,0.02675231,0.22733924
2700,0.2857005,1.014496,0.0028641748,0.22555283
2800,5.671208,1.0132264,0.25939238,0.22396787
2900,0.26734498,1.0111347,0.002155324,0.22208318
3000,32.815216,1.0149177,1.5521356,0.22036774
3100,0.25255498,1.0096697,0.0016004686,0.21894515
3200,0.28297713,1.0065842,0.0031021577,0.21783182
3300,0.27987182,1.0108124,0.00309082,0.2149646
3400,0.24527787,1.0048907,0.001447889,0.2148722
3500,0.943915,1.0085216,0.03480433,0.21302411
3600,0.27871966,1.0020574,0.0031820517,0.21189658
3700,0.31497443,1.0076387,0.005009642,0.20977195
3800,0.2895345,1.0004747,0.0038369205,0.20895918
3900,0.3773094,1.0050828,0.008086159,0.20750007
4000,6.4509425,0.99980867,0.29734838,0.20662642
4100,0.24070193,1.0000707,0.0017429861,0.20409922
4200,140.312,1.0063384,6.6718407,0.20334326
4300,0.22295347,0.99712914,0.0010174039,0.20158799
4400,10.973741,0.99344915,0.51304793,0.19973378
4500,0.21974559,0.9948625,0.0009981123,0.19878523
4600,46.18473,0.989957,2.189865,0.1975639
4700,0.22046745,0.9928053,0.0011657542,0.19598661
4800,1.0655205,1.0017768,0.04145397,0.19498721
4900,0.21265106,0.99073786,0.00089947245,0.19376214
5000,1.781118,1.0007441,0.07567044,0.1920388
5100,0.206376,0.9894376,0.0007678689,0.19025075
5200,4.889207,0.99278605,0.22376287,0.19018634
5300,0.21614186,0.9884116,0.0012966841,0.1889115
5400,5.1350627,0.9951021,0.23557563,0.18797435
5500,0.20097831,0.9866171,0.0006957956,0.1863666
5600,3.4733858,0.98619604,0.15657859,0.18523557
5700,0.19746287,0.9852145,0.00064041687,0.18401411
5800,0.5442706,0.98866767,0.017209347,0.18287428
5900,0.2037088,0.98417675,0.0010204221,0.18227993
6000,0.7029488,0.9892558,0.024847915,0.18114258
6100,1.0943156,0.98307616,0.043500923,0.18079625
6200,0.21014512,0.98406017,0.0015013051,0.1786177
6300,46.488506,0.9864401,2.2052252,0.17877671
6400,0.18823898,0.9820706,0.0005315909,0.17707556
6500,154.78633,0.97420144,7.3623686,0.17658573
6600,0.18860832,0.98141044,0.0006533343,0.1748883
6700,61.010212,0.98615277,2.8969262,0.17476204
6800,0.18732238,0.9803823,0.00066662213,0.17332332
6900,25.598013,0.9796581,1.2107191,0.17291042
7000,0.18020548,0.9793766,0.00043103454,0.17115375
7100,0.82221127,0.98338306,0.030994361,0.17132966
7200,0.1793055,0.97949064,0.00047099404,0.16941462
7300,0.18092887,0.97722536,0.000552168,0.16933334
7400,0.39460695,0.98296195,0.010793677,0.16793974
7500,0.17506047,0.9767487,0.0003713843,0.16726139
7600,0.2869926,0.9833054,0.0057447483,0.16635288
7700,0.1793144,0.97623175,0.0006485667,0.1656945
7800,0.36138612,0.9799476,0.009348521,0.16506717
7900,36.276054,0.9713552,1.7195878,0.16471122
8000,0.17143144,0.9764826,0.00037231506,0.16361283
8100,2.5817788,0.97735935,0.1151723,0.16316058
8200,0.17388901,0.975821,0.00056467333,0.16203088
8300,4.941237,0.9790057,0.22761746,0.1612701
8400,0.16931827,0.97508144,0.0004207138,0.16048329
8500,0.48280218,0.976458,0.015382021,0.15977976
8600,0.16573127,0.9741959,0.0002983997,0.15946487
8700,0.2822693,0.97801846,0.00589686,0.15843523
8800,0.16427729,0.9741417,0.00029794592,0.15802042
8900,1.7033305,0.97795904,0.07361023,0.15751566
9000,0.1624489,0.97373223,0.00028036,0.15656134
9100,4.651461,0.9712983,0.21408184,0.15574242
9200,0.16143627,0.9732175,0.00028368845,0.15547882
9300,3.1439204,0.9757914,0.14234923,0.15458651
9400,0.15976718,0.9730779,0.0002669728,0.15416075
9500,66.51823,0.97741103,3.16021,0.15381533
9600,0.16214283,0.97267896,0.00044922956,0.152709
9700,103.80335,0.9780879,4.9357452,0.1527058
9800,0.15780433,0.972215,0.0002917977,0.15167658
9900,62.031853,0.9766107,2.9466915,0.15132742
10000,0.15682793,0.97272956,0.00029051097,0.1507272
10100,7.400222,0.972192,0.3452485,0.15000367
10200,0.15668744,0.9716101,0.00032802857,0.14979884
10300,133.10374,0.9623724,6.3311663,0.14925373
10400,0.15378945,0.9719289,0.00027011248,0.14811708
10500,0.15300682,0.9695405,0.00024051394,0.14795603
10600,0.42915443,0.97215956,0.013428017,0.14716607
10700,0.15157321,0.96925807,0.00022672376,0.146812
10800,4.297603,0.9710302,0.19770882,0.14571813
10900,0.15023461,0.9691986,0.00021997001,0.14561523
11000,0.6329219,0.9666408,0.023201704,0.1456861
11100,0.14896812,0.9700719,0.00021145357,0.14452758
11200,0.1495145,0.96727234,0.00024675432,0.14433266
11300,3.0240207,0.96633077,0.13717118,0.14342597
11400,0.14789274,0.96694416,0.00023580457,0.14294085
11500,15.352994,0.9664922,0.72431546,0.14236948
11600,0.14852369,0.9660846,0.00030928807,0.14202864
11700,0.15688983,0.9661557,0.0007506636,0.14112589
11800,0.14555095,0.96583813,0.00022011789,0.14092848
11900,47.446697,0.96931607,2.2526658,0.14071663
12000,0.15079632,0.96450335,0.00052500865,0.13977115
12100,135.14116,0.97260195,6.428656,0.13937885
12200,0.14296289,0.96467674,0.00019632437,0.13884008
12300,0.17643642,0.9622224,0.0017907041,0.13883165
12400,0.21987885,0.9627712,0.0038856415,0.13828039
12500,42.124825,0.95660114,1.9993857,0.13772501
12600,0.14317435,0.9623297,0.0002886288,0.13711314
12700,3.3915877,0.95911586,0.15500148,0.13655674
12800,0.15353319,0.96127874,0.00085435703,0.13559169
12900,17.444754,0.95716053,0.8242577,0.13534193
13000,0.14169474,0.96051437,0.00032391291,0.13489257
13100,0.8585794,0.9616747,0.03446917,0.13472688
13200,0.13752976,0.95981824,0.0001767219,0.1338186
13300,18.14293,0.9572548,0.85761374,0.13304234
13400,0.13840097,0.95884603,0.0002497257,0.13315673
13500,3.5247412,0.96104616,0.16153342,0.13253948
13600,0.13594751,0.95765954,0.00017446546,0.13228373
13700,0.1712707,0.9572712,0.0018922937,0.13153253
13800,0.13508533,0.9574918,0.00017843509,0.1313382
13900,2.5693655,0.9579903,0.11615815,0.13004443
14000,0.13394083,0.9565843,0.00017148188,0.13033971
14100,0.19900759,0.9560796,0.0032868874,0.12998295
14200,0.13317361,0.9558847,0.00019623949,0.12905258
14300,0.17853743,0.9558443,0.0023813606,0.12852886
14400,0.13179629,0.9555348,0.00016866416,0.12825434
14500,0.9382818,0.9533873,0.038608737,0.12749827
14600,0.13074015,0.9558262,0.0001680973,0.12721011
14700,112.841606,0.9624393,5.367379,0.12663719
14800,0.13111027,0.95564985,0.00021849088,0.12652196
14900,0.24001488,0.95455927,0.005413158,0.12633857
15000,0.14748712,0.95513165,0.0010502578,0.1254317
15100,0.13343419,0.95396477,0.00037561028,0.12554638
15200,0.16990304,0.9540585,0.0021417271,0.12492677
15300,0.12777996,0.95443,0.00016075291,0.124404155
15400,4.169106,0.9558191,0.19263431,0.1237857
15500,0.12741075,0.9548072,0.00018965718,0.12342796
15600,11.858907,0.9508153,0.55882615,0.12355832
15700,0.12984964,0.9540079,0.0003364151,0.12278492
15800,94.22254,0.9606942,4.480948,0.12263121
15900,0.12925965,0.9541974,0.00036197997,0.12165807
16000,0.14171192,0.9530267,0.0009559087,0.121637836
16100,0.17075565,0.9532406,0.0023744646,0.1208919
16200,0.1267828,0.9528669,0.00029484628,0.12059104
16300,0.17132336,0.9533201,0.00245284,0.119813725
16400,0.122906454,0.95309305,0.00015355545,0.11968179
16500,3.1933074,0.95503527,0.14636545,0.11963288
16600,0.12182222,0.95329654,0.00015667915,0.11853196
16700,0.1211637,0.95178413,0.00014772479,0.11806148
16800,0.2515368,0.95013493,0.0063794656,0.117568
16900,0.120524906,0.95255244,0.00015169587,0.11733929
17000,0.1204812,0.9513649,0.00014809142,0.11737128
17100,0.45522353,0.9477941,0.016152797,0.116014786
17200,0.11965933,0.9512694,0.00014700442,0.11657223
17300,19.032187,0.95593494,0.900782,0.115765184
17400,0.11936496,0.9510719,0.00019214474,0.11532992
17500,7.583015,0.95171154,0.35561094,0.11518526
17600,0.12540503,0.95072985,0.0004982032,0.11494277
17700,84.95959,0.9431638,4.040262,0.114078656
17800,0.11900668,0.95016056,0.0002453029,0.11385532
17900,0.30933094,0.9487948,0.00932056,0.11359917
18000,0.12957217,0.94861573,0.0007951297,0.11287444
18100,0.12505677,0.9483433,0.00059055374,0.11265514
18200,0.12040256,0.94935834,0.0003968447,0.112068824
18300,0.11492659,0.94890183,0.00014000294,0.11198653
18400,23.21539,0.9509871,1.100181,0.11158935
18500,0.11658645,0.9486166,0.00025759832,0.111176886
18600,0.11400269,0.9477468,0.00015573374,0.11073228
18700,0.13188961,0.945326,0.0010432492,0.10998138
18800,0.11336553,0.94777334,0.00014630373,0.11029315
18900,0.6394316,0.9448298,0.02525567,0.10906249
19000,0.11257967,0.9482229,0.00014283882,0.109580055
19100,13.108633,0.9548109,0.61904347,0.10871979
19200,0.11187179,0.948118,0.00014910386,0.108740605
19300,9.178203,0.95359766,0.43191692,0.107947394
19400,0.11106339,0.9485133,0.00015237303,0.10786356
19500,58.79533,0.94263315,2.7946603,0.107464746
19600,0.11322625,0.9490066,0.00028692407,0.107200846
19700,8.78222,0.95214695,0.41311374,0.106831096
19800,0.10982204,0.94910234,0.00016565796,0.106343225
19900,2.3460531,0.9510742,0.10667133,0.105955146
20000,0.10900116,0.950043,0.00015081746,0.10583399
20100,0.5830004,0.9521296,0.022732148,0.1056253
20200,0.10796066,0.95059884,0.00014654316,0.10488325
20300,9.147535,0.9532635,0.430604,0.10485061
20400,0.10850199,0.9522423,0.00017487817,0.10482955
