iteration,total,bc,pde,supervised
1,2037.3644,1.6998247,97.00242,0.31363282
100,51.435333,1.3884588,2.4363446,0.27209586
200,12.101523,0.5858376,0.5653485,0.22920491
300,6.2451878,0.6165685,0.28651965,0.22827539
400,3.831301,0.8243837,0.17121546,0.23577645
500,2.4191804,1.0405288,0.103573106,0.24414527
600,1.6308082,1.1976373,0.06575204,0.25001553
700,1.1909521,1.2824079,0.044692483,0.25240993
800,0.9363773,1.3069193,0.0325987,0.25180456
900,0.779107,1.2904248,0.025212426,0.24964601
1000,0.67562145,1.2526405,0.020437503,0.2464339
1100,0.60304713,1.2073176,0.017145772,0.24298595
1200,0.54891855,1.1626879,0.014731794,0.23955089
1300,0.5076122,1.1226761,0.012908697,0.23652962
1400,0.4745574,1.088738,0.011457353,0.23395297
1500,0.44682813,1.061087,0.010243909,0.23170601
1600,0.42470652,1.0390031,0.009280163,0.22982308
1700,0.58391047,1.0245548,0.017025141,0.22638248
1800,0.38130462,1.0093441,0.007444821,0.2249634
1900,0.44905365,1.0001307,0.010798887,0.22227703
2000,19.057976,0.99021035,0.89699054,0.2211746
2100,0.34718874,0.98503953,0.0061147194,0.21877964
2200,1.2459946,0.9857428,0.049002748,0.21693684
2300,0.30570763,0.97539806,0.0042966665,0.21547765
2400,40.36676,0.9802444,1.9120234,0.21426865
2500,0.28690827,0.9683533,0.0035334679,0.21270543
2600,1.448062,0.9718372,0.058942918,0.21026064
2700,0.270916,0.96417016,0.002917609,0.2096462
2800,0.959094,0.9656795,0.035728827,0.20878865
2900,0.2580021,0.960737,0.0024223095,0.20713359
3000,2.807967,0.9677648,0.1239089,0.20588014
3100,0.2475948,0.959072,0.0020482608,0.20458134
3200,8.823082,0.96583605,0.4104748,0.20311072
3300,0.23912926,0.9579413,0.0017410134,0.20256798
3400,1.0052775,0.96817344,0.038331494,0.20031609
3500,0.23026998,0.95898414,0.001475488,0.19928473
3600,0.23003721,0.95854443,0.0014795949,0.19896571
3700,12.137785,0.9659267,0.56859773,0.19723193
3800,0.22234817,0.9588609,0.0012194194,0.19674036
3900,178.94917,0.9635423,8.51203,0.19654526
4000,0.2224599,0.95914793,0.0013247323,0.19464052
4100,15.592934,0.9639706,0.7332924,0.19379373
4200,0.22035782,0.9605236,0.0013559248,0.1918834
4300,0.21190415,0.96110624,0.00096553995,0.19162782
4400,26.784775,0.9753755,1.2664021,0.19033124
4500,0.20957243,0.9619011,0.0009787164,0.1890194
4600,0.20594616,0.96204096,0.0008134326,0.18886408
4700,1.5851254,0.96056604,0.066606045,0.18639846
4800,0.20207429,0.96352243,0.0007511801,0.1862995
4900,0.4260733,0.96295005,0.011429399,0.18605593
5000,0.2521497,0.9616822,0.003250002,0.18389967
5100,0.2025069,0.96357405,0.000871914,0.18419671
5200,0.4010794,0.9614799,0.010419414,0.18227169
5300,0.19569695,0.9643856,0.00065384986,0.1819661
5400,0.3829177,0.9623781,0.00965264,0.18021227
5500,0.19399072,0.96445024,0.00065422687,0.18025196
5600,0.65561414,0.96150315,0.022743989,0.1779904
5700,0.19070347,0.96573454,0.00060916273,0.17791104
5800,126.847694,0.97436553,6.031924,0.1772917
5900,0.18862505,0.96528727,0.00063184416,0.17535633
6000,0.18669233,0.9660371,0.00053103076,0.17554069
6100,22.604013,0.9773624,1.068076,0.17441693
6200,0.18537386,0.9652671,0.000567734,0.17345144
