iteration,total,bc,pde,supervised
1,10.792675,1.5351585,0.47615498,0.79342043
100,0.13256814,0.22688875,0.003703672,0.05479103
200,0.11865033,0.219319,0.0030825613,0.05391654
300,0.10771711,0.20721807,0.00260996,0.052907955
400,0.09646909,0.18763506,0.0021702615,0.0508936
500,0.07561762,0.14703462,0.0015507424,0.04305203
600,0.05760923,0.10178362,0.0011458407,0.033546574
700,0.047919437,0.08727041,0.0009035483,0.02894492
800,0.04162336,0.08193746,0.00076992594,0.025454914
900,0.035635106,0.0743615,0.0006610886,0.021752248
1000,0.02900935,0.06429976,0.0005158019,0.01817751
1100,0.019044887,0.04556102,0.00030426602,0.012655301
1200,0.012674971,0.02957202,0.00023501998,0.007739551
1300,0.011705972,0.026129957,0.00022108818,0.00706312
1400,0.010353641,0.02286087,0.00019632682,0.0062307776
1500,0.009419143,0.020504288,0.00018115876,0.005614809
1600,0.009466378,0.019156318,0.00019841906,0.0052995775
1700,0.008391437,0.017409725,0.00016912978,0.004839712
1800,0.008167945,0.016548384,0.00016548915,0.004692673
1900,0.007759116,0.015728213,0.00015681348,0.004466033
2000,0.0073829205,0.0144529855,0.00015461483,0.004136009
2100,0.007209761,0.014086339,0.00015199449,0.004017877
2200,0.0066103293,0.01289263,0.00014076564,0.0036542509
2300,0.007734289,0.012541327,0.00020322062,0.003466656
2400,0.006159371,0.011776837,0.0001348972,0.00332653
2500,0.0056215413,0.010872319,0.00012366622,0.0030245504
2600,0.006409659,0.010380874,0.00016915893,0.0028573214
2700,0.0077761225,0.009162527,0.00025016806,0.0025225931
2800,0.0050461795,0.009035834,0.00012110546,0.0025029648
2900,0.004823885,0.008717797,0.00011395341,0.0024308632
3000,0.005699042,0.007862333,0.00016870261,0.0021562877
3100,0.004464019,0.0078571625,0.00010972083,0.0021598816
3200,0.0044722883,0.006888972,0.00012576196,0.0018312873
3300,0.003695794,0.006246779,9.726131e-5,0.0016533063
3400,0.0035755397,0.006004763,9.375928e-5,0.0016065949
3500,0.0033937506,0.0053882943,9.454783e-5,0.0014082461
3600,0.0031341957,0.0049016373,8.943851e-5,0.001255987
3700,0.0042161173,0.0045236843,0.0001448796,0.0011736456
3800,0.0032799065,0.004222208,0.00010460109,0.0010832837
3900,0.003299636,0.003781256,0.00011207196,0.0009461247
4000,0.0027024222,0.003468207,8.690521e-5,0.00087741285
4100,0.0030748956,0.003270966,0.00010630092,0.0008425764
4200,0.003091746,0.0029555238,0.00011125394,0.0007554133
4300,0.0028188834,0.0026725847,0.0001028863,0.0006582711
4400,0.0022774846,0.0025187354,7.909574e-5,0.0006164741
4500,0.0022653332,0.0022141724,8.178466e-5,0.0005478555
4600,0.005318111,0.0022165494,0.00022699425,0.0005512317
4700,0.0021703967,0.001987979,7.883282e-5,0.0005149075
4800,0.002496922,0.0018401963,9.7104086e-5,0.00045773614
4900,0.0022728457,0.0017759623,8.591379e-5,0.00046865628
5000,0.0046631545,0.0016063991,0.00020333179,0.0003931871
5100,0.0027020904,0.0016268387,0.00010808757,0.00043225152
5200,0.0028766962,0.0015999847,0.00011682125,0.0004234501
5300,0.002097358,0.0012804209,8.441816e-5,0.00032457674
5400,0.0029683826,0.0012816633,0.00012588763,0.00032474237
5500,0.0025352272,0.001186565,0.000105397405,0.00032188155
5600,0.0020485334,0.0011386456,8.332154e-5,0.00029878097
5700,0.0017544344,0.001053636,7.038539e-5,0.00027634134
5800,0.0016817979,0.0010091596,6.7063884e-5,0.0002734563
5900,0.002220766,0.0010179454,9.1919144e-5,0.00029046385
6000,0.001653534,0.0009261068,6.645129e-5,0.00025805694
6100,0.0016336977,0.00093915884,6.456002e-5,0.00027793722
6200,0.0019268624,0.00090345193,7.974224e-5,0.0002522754
6300,0.002964269,0.00079877436,0.00012997756,0.00023474019
6400,0.0014876402,0.00084934296,5.8675967e-5,0.00025544496
6500,0.0015493262,0.0007618095,6.284466e-5,0.00022958839
6600,0.0013837268,0.00065932306,5.679478e-5,0.0001910365
6700,0.0024246345,0.00089443004,0.000101286896,0.0002976098
6800,0.0028818797,0.000596675,0.00012803705,0.0001931016
6900,0.001464456,0.00056431384,6.146899e-5,0.00017360717
7000,0.001684385,0.0005505714,7.1884984e-5,0.00017480031
7100,0.0014470587,0.00050273776,6.130169e-5,0.00015972323
7200,0.0013348042,0.0006918999,5.372564e-5,0.00020656583
7300,0.0011497436,0.00044633038,4.8145223e-5,0.0001386939
7400,0.001226289,0.000416719,5.1848343e-5,0.00013747375
7500,0.0010997031,0.00043190212,4.5448793e-5,0.00014527845
7600,0.0021427236,0.00044603233,9.4252544e-5,0.00016342037
7700,0.0010887217,0.00035648677,4.6049758e-5,0.00012167673
