iteration,total,bc,pde,supervised
1,2208.8608,1.7260662,105.16878,0.31637976
100,25.17873,1.4068484,1.1861292,0.2700164
200,7.5097194,1.0187852,0.34548837,0.25446358
300,4.2866006,0.91158897,0.19255473,0.24295118
400,2.3901174,0.8586506,0.10251515,0.23729919
500,1.4146179,0.81779784,0.05621018,0.23420422
600,0.9679276,0.78144467,0.035051167,0.23185308
700,0.76428545,0.7487017,0.025468731,0.22944209
800,0.6597464,0.7204027,0.02062317,0.22665982
900,0.5940481,0.698071,0.01763902,0.22362866
1000,0.54113114,0.6815063,0.015260078,0.22066948
1100,0.4941659,0.6700582,0.013156585,0.21787761
1200,0.452875,0.66374093,0.011312345,0.21531574
1300,0.41701746,0.6608616,0.00970808,0.21314777
1400,0.38476014,0.6610931,0.008270718,0.21107505
1500,1.7074877,0.663718,0.07134144,0.20931748
1600,0.3326547,0.6689509,0.0060177697,0.20628157
1700,62.47875,0.6752391,2.965405,0.20524338
1800,0.298974,0.68052286,0.004631089,0.20172115
1900,0.2830841,0.68285143,0.003917091,0.20082518
2000,4.578298,0.6897557,0.20857131,0.19830045
2100,0.25587046,0.69024444,0.002786155,0.1973612
2200,4.5036144,0.6968007,0.20513718,0.19573359
2300,0.24690701,0.69531727,0.0024849707,0.19472262
2400,0.42932856,0.6990423,0.011269028,0.19267897
2500,1.2754002,0.69932586,0.05158785,0.1920554
2600,0.23894398,0.7008432,0.0023247933,0.19012332
2700,304.83096,0.70702845,14.50672,0.18985778
2800,0.22100028,0.70637524,0.0016185316,0.18701112
2900,0.21948953,0.7054049,0.0015669822,0.18658291
3000,3.275893,0.7077916,0.14719439,0.18481095
3100,0.21657978,0.70604056,0.0015385123,0.18427102
3200,0.37513763,0.7087095,0.009206777,0.18179528
3300,0.20702453,0.7056889,0.00122951,0.18120483
3400,175.50668,0.7133039,8.348831,0.18123163
3500,0.20263596,0.7068105,0.0011325743,0.1788519
3600,46.80474,0.70705944,2.2203398,0.17760448
3700,0.2000331,0.70502657,0.0011179721,0.1765557
3800,6.0522203,0.7197013,0.27986535,0.17504801
3900,0.19583914,0.70676696,0.0010479256,0.1738327
4000,47.977947,0.70833266,2.2764351,0.17280957
4100,0.19281177,0.70648146,0.0010054972,0.17169634
4200,2.839136,0.71286714,0.12710077,0.17001988
4300,0.18861113,0.7051782,0.0009224769,0.16923912
4400,1.0654973,0.71311104,0.04277015,0.1673241
4500,0.18827656,0.7057537,0.0010350298,0.16654094
4600,84.806915,0.71011907,4.030545,0.16546667
4700,0.18238692,0.70521647,0.00088779884,0.16374314
4800,0.18187296,0.702218,0.0008832588,0.16332453
4900,0.18488437,0.7080613,0.0011188507,0.1613885
5000,0.17718552,0.70102346,0.0007841304,0.16071878
5100,1.2638528,0.70648324,0.052600063,0.1592514
5200,0.17902711,0.6995924,0.00097403757,0.15857232
5300,0.17452265,0.7138665,0.0008389432,0.15690485
5400,0.17149743,0.7007119,0.00073801784,0.15599906
5500,2.2489097,0.6973021,0.0996825,0.15557717
5600,0.17090736,0.70007384,0.00082616194,0.15355796
5700,0.1673614,0.69550055,0.0006809726,0.15306097
5800,0.30910173,0.70478266,0.007484908,0.15191866
5900,0.1662231,0.6949947,0.0007161294,0.15118438
6000,0.45934182,0.6976655,0.014751902,0.14955188
6100,0.16364564,0.69293225,0.0006932819,0.14908671
6200,0.19589965,0.6931039,0.0022854244,0.14790574
6300,45.45361,0.69867754,2.157447,0.14721939
6400,0.15894315,0.68669784,0.0006196581,0.14593032
6500,10.467839,0.6919214,0.4915696,0.1448779
6600,0.15677412,0.6842934,0.0006038166,0.14409398
6700,36.589275,0.7029361,1.7355282,0.14318024
6800,0.1535905,0.6886212,0.00055457425,0.14194444
6900,0.15319125,0.68353647,0.0005581483,0.14147013
7000,2.9459424,0.67676634,0.1335964,0.14041772
7100,0.15319876,0.6831654,0.0006405604,0.139747
7200,0.15235437,0.67805266,0.0006211221,0.1393108
7300,0.3010497,0.68442726,0.007769027,0.13790014
7400,0.1482572,0.6769277,0.0005219599,0.13729604
7500,175.13522,0.6790441,8.333236,0.13726646
7600,0.15116227,0.67619103,0.00073582097,0.13571003
7700,0.14685984,0.6713374,0.0005504068,0.13530129
7800,0.15147199,0.67444974,0.000818578,0.13428184
7900,0.1442314,0.66891986,0.00049927627,0.1337466
8000,0.14315592,0.67395604,0.00048602524,0.13294938
8100,0.16291587,0.66732264,0.0014506956,0.13245127
8200,0.20760658,0.66879606,0.00362688,0.1314421
8300,0.20511699,0.66433376,0.0035256878,0.13107754
8400,0.1674494,0.6640299,0.0017841619,0.129982
8500,0.14154473,0.66075903,0.00056749035,0.12962744
8600,0.13802086,0.663975,0.0004485166,0.12860201
8700,0.1379354,0.65973485,0.00046184167,0.12823673
8800,0.14414577,0.6648529,0.00079570385,0.127436
8900,0.13615355,0.65695685,0.0004446763,0.12681535
9000,7.908545,0.6538866,0.37057757,0.12641566
9100,0.13492708,0.6568283,0.00044036112,0.1256795
9200,29.705654,0.65247434,1.4085913,0.12523559
9300,0.13710146,0.65376776,0.0006072863,0.12434845
9400,96.312386,0.6499037,4.580404,0.12390928
9500,0.13583976,0.64966494,0.0006025992,0.12318517
9600,12.776433,0.6601652,0.6025473,0.12294006
9700,0.1334469,0.64923656,0.00054676895,0.12196475
