iteration,total,bc,pde,supervised
1,2019.0592,1.7035226,96.130264,0.32355413
100,29.933788,1.3367344,1.4124613,0.27210277
200,8.161286,1.0771797,0.37580204,0.26944348
300,4.64987,0.9892534,0.20897584,0.2613772
400,2.7293715,0.98400456,0.11778398,0.25590807
500,1.6772268,1.0227913,0.06773389,0.25481504
600,1.1510875,1.0683084,0.04264553,0.25553143
700,0.89926183,1.102894,0.030643469,0.255749
800,0.7689376,1.1229991,0.024459897,0.25527975
900,0.69192016,1.1315126,0.020867221,0.2537085
1000,0.6320931,1.1318688,0.018118482,0.25160497
1100,0.5824279,1.1279824,0.015857402,0.24942246
1200,0.53884375,1.1218636,0.013898077,0.24698414
1300,0.49723426,1.1143813,0.012026865,0.2446701
1400,0.45912665,1.1069224,0.010331955,0.24215558
1500,0.42602342,1.0995504,0.0088730315,0.23968978
1600,3.5715241,1.0942961,0.15881266,0.23645835
1700,0.47579095,1.0846163,0.011494684,0.23440258
1800,0.35944515,1.0789796,0.006094981,0.23145056
1900,43.20579,1.0774946,2.0464945,0.22940919
2000,0.36302966,1.0662224,0.0064682006,0.22719747
2100,0.30149463,1.0637281,0.0036827323,0.22415726
2200,0.29218054,1.055885,0.0033036473,0.22280394
2300,120.04234,1.056836,5.7057633,0.22131711
2400,0.27770045,1.0479228,0.002811535,0.21865822
2500,0.27475515,1.0425984,0.0027139976,0.2177612
2600,1.5252572,1.0413798,0.06238766,0.21511637
2700,0.25732997,1.0352942,0.0020499902,0.21428017
2800,8.8758335,1.036544,0.4125399,0.21249601
2900,0.25035012,1.0297095,0.0018473325,0.21155612
3000,2.3766565,1.0283341,0.10319108,0.20964377
3100,0.2436613,1.0243701,0.0016417971,0.20918356
3200,0.46854407,1.0268602,0.012464507,0.20678942
3300,0.23893012,1.0212398,0.001561025,0.2061486
3400,1.0835664,1.0232708,0.04187587,0.20417327
3500,0.23270144,1.018935,0.0013894455,0.20352308
3600,0.22961813,1.0207996,0.0013235668,0.20182323
3700,122.48078,1.014364,5.8228493,0.20095117
3800,0.22573993,1.0165046,0.0012478731,0.1995346
3900,0.9898416,1.0188628,0.037715893,0.19780786
4000,0.2234284,1.0151273,0.0012471874,0.19723746
4100,0.24668196,1.0166932,0.0024473288,0.19528806
4200,0.51483065,1.0138267,0.01524288,0.19473015
4300,0.25938553,1.0142939,0.0031549109,0.1931324
4400,0.23385353,1.0245589,0.002023651,0.19135687
