iteration,total,bc,pde,supervised
1,2260.3904,1.7229743,107.62228,0.32244232
100,36.08568,0.8204639,1.7062042,0.25538868
200,9.576321,1.0806721,0.44368094,0.2590208
300,4.5560484,1.1706399,0.20445833,0.26242357
400,3.022683,1.1711433,0.13156593,0.2597982
500,2.0814986,1.1448066,0.08694115,0.25573435
600,1.4642987,1.1179388,0.057717815,0.2522245
700,1.0798632,1.0956194,0.039538518,0.24955438
800,0.85865104,1.0782752,0.029091172,0.24773642
900,0.71951324,1.064433,0.022557616,0.24580331
1000,0.6386159,1.054726,0.01878859,0.24405552
1100,0.5803803,1.0463328,0.016090484,0.24248019
1200,0.5400021,1.0400105,0.014240819,0.24094495
1300,0.5027759,1.0351686,0.01254326,0.23936746
1400,0.47228467,1.032335,0.011166097,0.23779665
1500,0.44440144,1.0295343,0.009895666,0.23659247
1600,2.922083,1.0264477,0.12802853,0.23348367
1700,0.5699456,1.0261422,0.016076915,0.23233032
1800,0.39790064,1.0247136,0.00800682,0.22975743
1900,77.90065,1.0286205,3.698703,0.22788173
2000,0.3403372,1.0229973,0.0054534245,0.22581527
2100,0.45904952,1.023106,0.011196608,0.22392075
2200,0.30908602,1.0222329,0.00413549,0.22224075
2300,0.41335884,1.0236715,0.009197452,0.22021234
2400,0.2887888,1.0210263,0.0033146061,0.21918206
2500,14.9335785,1.0218229,0.70080805,0.21661007
2600,0.277371,1.0199132,0.0029258693,0.21592772
2700,0.65089005,1.0193431,0.020759892,0.21493231
2800,0.25986412,1.0197164,0.0022273373,0.21309003
2900,50.34834,1.0226382,2.387442,0.21205609
3000,0.24930568,1.0191613,0.0018653742,0.21013282
3100,0.3475126,1.0178981,0.006570658,0.20952879
3200,0.2958182,1.0183005,0.004215616,0.20729029
3300,0.23853657,1.0171171,0.0015029474,0.20697467
3400,0.6484764,1.0168543,0.0211717,0.20387073
3500,0.23054118,1.01694,0.0012871079,0.20351192
3600,8.9250145,1.0166355,0.4153242,0.20320629
3700,0.23335287,1.0165797,0.0015447104,0.20091395
3800,0.24950153,1.0150384,0.0023284433,0.20060422
3900,0.2337856,1.0155748,0.0016952539,0.19818527
4000,0.2185133,1.014652,0.0009958253,0.19760096
4100,0.25623137,1.0134184,0.0029093833,0.19513433
4200,0.21393956,1.014085,0.0008984741,0.19507161
4300,43.985054,1.0100325,2.085273,0.19432218
4400,0.21096255,1.0141648,0.00091234,0.19180341
4500,0.20763442,1.0124725,0.0007766256,0.19132528
4600,4.996429,1.0171008,0.22890382,0.18944882
4700,0.20415391,1.0122441,0.0007380916,0.18865399
4800,0.48418468,1.0105338,0.014091252,0.1882684
4900,0.2271394,1.0115988,0.0019333907,0.18653819
5000,0.22026524,1.0098692,0.0016320467,0.18599226
5100,0.20191114,1.0113896,0.000852856,0.18400116
5200,0.19681124,1.0091549,0.0006326456,0.18352568
5300,0.33644974,1.0087805,0.007373388,0.1816086
5400,0.19355343,1.0080721,0.0005796249,0.18138131
5500,0.2030053,1.008151,0.0011217124,0.17944933
5600,0.19369915,1.0073913,0.00068844407,0.17924182
5700,1.6593008,1.0039229,0.07060121,0.17667542
5800,0.18751922,1.00688,0.0005181249,0.1766386
5900,48.74498,1.0112839,2.312805,0.17607597
6000,0.18890348,1.0061028,0.00067488046,0.17473099
6100,0.3928511,1.0071976,0.010459479,0.17320207
6200,0.1822498,1.0052122,0.00045494217,0.17269601
6300,9.498954,1.0030473,0.44412622,0.17230316
6400,0.19280787,1.0054325,0.0010575197,0.17059995
6500,0.22730836,1.0031233,0.0027176368,0.17023799
6600,0.18319345,1.0043864,0.0006952219,0.16859378
6700,0.1765584,1.0023572,0.00039155173,0.16833583
6800,0.2801539,1.0022608,0.005400672,0.16673978
6900,0.17486954,1.0016435,0.0004002856,0.16646354
7000,0.36451548,1.003197,0.009504292,0.16492537
7100,0.17165162,1.001217,0.00034759965,0.16435203
7200,21.50859,1.0087084,1.0164287,0.16358808
7300,0.16992754,1.0007559,0.00034133828,0.16275944
7400,98.13704,0.99501354,4.6654754,0.1620564
7500,0.1723986,1.0005347,0.00054254837,0.16100508
7600,162.67694,1.00427,7.73885,0.16109143
7700,0.17220178,0.99971145,0.00060578104,0.15948038
7800,5.731184,0.9985256,0.26533082,0.15923707
7900,0.1698074,1.000101,0.0005738267,0.15775704
8000,0.16507886,0.9975425,0.0003643076,0.1574284
8100,1.1627296,0.9988116,0.047951717,0.15574355
8200,0.16135475,0.99760723,0.00028065508,0.155461
8300,0.16056249,0.99644154,0.00025864964,0.15513085
8400,0.32695866,0.99893063,0.008251866,0.15366946
8500,0.15885578,0.9964624,0.00025902077,0.15341635
8600,2.4313178,0.9989393,0.10848774,0.15307511
8700,0.1607329,0.99643767,0.0003976766,0.15238169
8800,13.459664,0.9983991,0.6337332,0.15126692
8900,0.15637301,0.995162,0.0002646652,0.15081504
9000,7.7792807,0.99495286,0.36330074,0.14996517
9100,0.15431145,0.99484617,0.0002293368,0.14949538
9200,2.811064,0.9947405,0.1267914,0.1484447
9300,0.15275253,0.9943017,0.00021963507,0.14814019
9400,34.088276,0.9996995,1.6162219,0.14761674
9500,0.15164258,0.99441695,0.00022997403,0.14681312
9600,0.18667187,0.9928709,0.001906079,0.1466442
9700,0.20171165,0.9950175,0.0026719093,0.14560156
9800,0.14981812,0.99271226,0.00021558102,0.14529093
9900,0.2509557,0.99411386,0.005075529,0.14436957
10000,0.14844537,0.9923146,0.00020740945,0.14408977
10100,0.3832971,0.99437577,0.011433718,0.14318903
10200,0.1478016,0.9918197,0.0002296489,0.14297897
10300,0.15971123,0.9932277,0.00083697145,0.14213483
10400,0.1466404,0.991166,0.00022582695,0.14189804
10500,0.20914805,0.993717,0.0032431572,0.14104174
10600,0.14465088,0.99091643,0.00018626913,0.14073922
10700,1.0814189,0.9942681,0.04483686,0.13984485
10800,0.1434551,0.9906394,0.00018418072,0.13958731
10900,0.18186714,0.98895854,0.002060885,0.13858855
11000,0.14359468,0.99022436,0.00023742621,0.13860874
11100,0.17105119,0.9928653,0.0015886448,0.13768965
11200,0.14105305,0.9900091,0.00017497476,0.13737857
11300,54.544964,0.9868062,2.5908632,0.13683712
11400,0.14106701,0.9901604,0.00023564193,0.13611853
11500,0.13966227,0.9884922,0.00017336525,0.1360216
11600,0.7249074,0.98977995,0.028098108,0.1348471
11700,0.13829558,0.98874545,0.00016921974,0.13474196
11800,0.98072326,0.98713773,0.04029226,0.13458583
11900,0.14146347,0.9885891,0.00036046322,0.13389374
12000,0.13801803,0.9874238,0.00021952005,0.1334081
12100,0.15428792,0.99011415,0.0010462228,0.13231725
12200,0.1354514,0.9870529,0.00016061927,0.13207841
12300,0.16769046,0.98626727,0.0017023672,0.13194075
12400,0.1718888,0.987659,0.0019369881,0.13121204
12500,0.14211608,0.9860649,0.0005352813,0.13087517
12600,0.19839627,0.9871769,0.0032480147,0.13018796
12700,0.13318405,0.98557484,0.00015916221,0.12984164
12800,0.3461089,0.9881223,0.010329247,0.12919472
12900,0.13190863,0.98511803,0.00014820273,0.12879637
13000,3.7063391,0.98780566,0.17039001,0.12814887
13100,0.13093844,0.98480415,0.00014586345,0.12787531
13200,4.6656356,0.9874928,0.21609962,0.12754364
13300,0.13041034,0.9842724,0.00017831348,0.12666576
13400,204.86194,0.9851632,9.74929,0.12683482
13500,0.13072087,0.984404,0.0002460092,0.12555468
13600,0.12821515,0.98279077,0.0001445179,0.12518027
13700,2.090892,0.98200214,0.09360318,0.12522526
13800,0.13638741,0.98382777,0.0005853103,0.124095894
13900,0.12685747,0.98194176,0.00013856734,0.12394756
14000,35.779125,0.99020886,1.6978769,0.12370898
14100,0.12622495,0.9819923,0.00015840615,0.12289842
14200,0.12549822,0.98102075,0.0001396691,0.122565165
14300,0.84039885,0.98318106,0.034214478,0.12189484
14400,0.12472265,0.98052907,0.00015073534,0.12155721
14500,0.8593558,0.98642445,0.035164144,0.1209088
14600,0.124010846,0.9804372,0.00017651022,0.12030413
14700,0.122961566,0.9795717,0.00013533083,0.12011962
14800,42.661457,0.9795453,2.025794,0.11978062
14900,0.12276402,0.979521,0.00016522074,0.11929438
15000,1.3572775,0.978053,0.058960468,0.119107686
15100,0.13168299,0.97904253,0.00063555763,0.11833628
15200,0.121801585,0.9781538,0.00018021616,0.11801705
15300,0.12894028,0.98018384,0.0005552136,0.1172808
15400,0.11988532,0.9777429,0.00013411317,0.11706894
15500,6.183154,0.9813589,0.2888978,0.11630022
15600,0.118756846,0.9773623,0.00013913702,0.11583497
15700,0.17979968,0.97660404,0.0030425442,0.11590624
15800,0.14216785,0.9768529,0.0013028285,0.11480845
15900,0.117650606,0.97621137,0.00013709972,0.114771515
16000,4.222436,0.98142165,0.1956304,0.11419762
16100,0.116276905,0.9756423,0.000121599325,0.11372332
16200,8.000046,0.9814438,0.37555364,0.1134196
16300,0.11576825,0.974928,0.00012717114,0.11309765
16400,26.910677,0.97713774,1.2761092,0.11238211
16500,0.11449078,0.9742628,0.00013077799,0.11174444
16600,0.11421853,0.97393894,0.00011970441,0.11170474
16700,0.18794657,0.97603744,0.003668087,0.11091674
16800,0.113335535,0.9732806,0.00011843036,0.110848494
16900,3.3977137,0.9753205,0.15655057,0.11015181
17000,0.11236919,0.9725479,0.00011921631,0.10986564
17100,94.92106,0.9702042,4.5148277,0.109671876
17200,0.111594595,0.97191185,0.00014029034,0.1086485
17300,0.11110151,0.97143227,0.00011448899,0.108697236
17400,2.1384277,0.9735665,0.0966885,0.10796917
17500,0.110564426,0.9706249,0.00013156985,0.10780146
17600,16.161098,0.97158873,0.7644588,0.10746311
17700,0.112179115,0.9697619,0.00026701493,0.1065718
17800,0.10899679,0.96943754,0.00011734691,0.10653251
17900,0.9343558,0.9731146,0.03945817,0.10573424
18000,0.10785986,0.9684121,0.00011954962,0.10534932
18100,0.11672654,0.96831435,0.00054174016,0.105349995
