iteration,total,bc,pde,supervised
1,3.8626018,0.20557797,0.17937624,0.095700674
100,0.63559335,0.71918046,0.004437247,0.54241115
200,0.50147754,0.6186597,0.005445602,0.3871199
300,0.2314665,0.32567078,0.004783953,0.13100348
400,0.030008271,0.027276728,0.00070831785,0.015133597
500,0.010443445,0.00976504,0.00029880233,0.004168596
600,0.0040290467,0.005063743,0.00012730583,0.0013556243
700,0.0018149368,0.003264373,6.173868e-5,0.00051842444
800,0.0010165076,0.0023197327,3.5697536e-5,0.0002668594
900,0.0006850569,0.0016681857,2.4242205e-5,0.00017597059
1000,0.0005065663,0.0011757027,1.793095e-5,0.00013001636
1100,0.0004061074,0.00082064717,1.4525072e-5,0.00010108091
1200,0.00031523383,0.000558653,1.1184652e-5,8.035614e-5
1300,0.0002757042,0.00038412173,9.972262e-6,6.628671e-5
1400,0.00021749835,0.00026658317,7.691038e-6,5.5986548e-5
1500,0.00029325442,0.00031761904,1.1202186e-5,5.8008492e-5
1600,0.00016285299,0.00013841549,5.691666e-6,4.3328007e-5
1700,0.009088325,0.00019957332,0.00043018366,5.446797e-5
1800,0.00013036987,8.5404434e-5,4.5005986e-6,3.5857298e-5
1900,0.00011825175,7.0939815e-5,4.0668674e-6,3.2847536e-5
2000,0.00011549042,7.076601e-5,4.0246573e-6,3.097262e-5
2100,0.00010087788,5.5565837e-5,3.4702953e-6,2.8001672e-5
2200,0.00010757045,5.0686063e-5,3.8968387e-6,2.5736841e-5
2300,8.950618e-5,4.7618778e-5,3.1244251e-6,2.3893252e-5
2400,8.2410865e-5,4.3634554e-5,2.8857435e-6,2.1810249e-5
2500,0.0005845734,0.00027390334,2.6073765e-5,3.7024387e-5
2600,7.35451e-5,3.8092345e-5,2.6294667e-6,1.8326304e-5
2700,6.9454916e-5,3.556993e-5,2.5117338e-6,1.6708507e-5
2800,8.021258e-5,3.4243563e-5,3.084052e-6,1.5447491e-5
2900,6.2791e-5,3.1093863e-5,2.3277805e-6,1.39076055e-5
3000,6.159716e-5,4.071987e-5,2.2812735e-6,1.3690414e-5
