iteration,total,bc,pde,supervised
1,8.009167,1.5430112,0.31925556,1.3048002
100,1.288386,0.74329394,0.0054053687,1.1748732
200,1.1872807,0.6468351,0.00505654,1.0810933
300,0.8093507,0.50295496,0.006007803,0.6831869
400,0.55650896,1.2707503,0.0033663018,0.4858166
500,0.45092562,2.0978708,0.0026156888,0.39599615
600,0.40420622,2.7164743,0.0021061946,0.3599761
700,0.37629333,3.1732059,0.0017749493,0.3390194
800,0.35641444,3.5653436,0.0015640054,0.3235703
900,0.3583238,3.9317846,0.0019048401,0.31832218
1000,0.33430064,4.2975807,0.0012415708,0.30822766
1100,0.32868892,4.5728784,0.0011310221,0.30493745
1200,0.35415626,4.6823225,0.002660968,0.29827592
1300,0.32161534,4.9693255,0.00092564203,0.30217686
1400,0.3204535,5.040008,0.0009867446,0.29973185
1500,0.31711176,5.182332,0.00080731174,0.3001582
1600,0.3274668,5.0298676,0.0015218556,0.29550782
1700,0.3133344,5.277277,0.0007341754,0.2979167
1800,0.31152806,5.2976623,0.0007131626,0.29655164
1900,0.30987862,5.299689,0.00071503,0.294863
2000,0.30833212,5.299397,0.0007139169,0.29333985
2100,0.3283366,5.3700533,0.0015638535,0.29549566
2200,0.3058052,5.290182,0.00075413886,0.28996828
2300,0.30466813,5.2909045,0.000772571,0.28844413
2400,0.3039659,5.2641163,0.0008701208,0.28569335
2500,0.30229545,5.2639894,0.00082981377,0.28486934
2600,0.30124113,5.252095,0.0008602913,0.28317502
2700,0.29956013,5.211607,0.0009069819,0.28051353
2800,0.2980431,5.181748,0.0009522478,0.2780459
2900,0.29669645,5.1271,0.0010333154,0.27499682
3000,0.2947121,5.0996566,0.0010618521,0.2724132
