iteration,total,bc,pde,supervised
1,5.5878973,0.58214676,0.26005802,0.12667918
100,0.39945066,0.16905785,0.010919059,0.17015041
200,0.24097419,0.09369757,0.007007465,0.093817405
300,0.032140512,0.04550717,0.0013618092,0.0035425194
400,0.01803378,0.061404582,0.00074931624,0.0022981383
500,0.01370723,0.06364573,0.00054358086,0.0022920314
600,0.011790066,0.06490676,0.00045155277,0.0023074578
700,0.010637743,0.06546901,0.0003978829,0.0022822018
800,0.009728182,0.0655419,0.0003574465,0.002221806
900,0.0089009665,0.065268725,0.00032192894,0.0021404591
1000,0.008107976,0.06473751,0.0002885226,0.0020490016
1100,0.0073365793,0.06399659,0.00025631543,0.001953955
1200,0.0066515184,0.06306336,0.00022775459,0.0018686722
1300,0.006031575,0.061738867,0.00020316076,0.0017651989
1400,0.0054812874,0.060546964,0.00018071597,0.0016862518
1500,0.004952611,0.058782138,0.0001604466,0.0015832325
1600,0.004487571,0.057021726,0.00014275375,0.0014897423
1700,0.004051225,0.055101503,0.00012598856,0.001405465
1800,0.0036546048,0.053244364,0.00011065903,0.0013307651
1900,0.004242423,0.052526254,0.00013905764,0.0013222127
2000,0.002970649,0.048915103,8.5689055e-5,0.0011711789
2100,0.0045943903,0.04478449,0.00017046303,0.0010146667
2200,0.002422513,0.044505764,6.632232e-5,0.0010297442
2300,0.0025847089,0.042635903,7.3839976e-5,0.0010340695
2400,0.0020090924,0.04046074,5.2413787e-5,0.00090840284
2500,0.0018719097,0.039021954,4.8278263e-5,0.0008580662
2600,0.0019701936,0.037752405,5.3849006e-5,0.0008393644
2700,0.0016149213,0.035974488,4.0062885e-5,0.00077360065
2800,0.0015907973,0.03500911,4.077245e-5,0.00073457585
2900,0.0031038779,0.035169836,0.00010885608,0.00081790006
3000,0.0014524802,0.0329841,3.690573e-5,0.00067745993
