iteration,total,bc,pde,supervised
1,51.661625,4.440086,2.2592618,4.2171264
100,0.6641978,0.7560416,0.0042633116,0.5746682
200,0.65423256,0.7484332,0.0043546297,0.5627853
300,0.64601445,0.74152637,0.004391903,0.5537845
400,0.6389903,0.73419243,0.004378174,0.5470486
500,0.63094145,0.7241616,0.0043525607,0.53953767
600,0.6195903,0.7093182,0.0043239235,0.5287879
700,0.60239047,0.6857991,0.004336985,0.5113138
800,0.5783532,0.64952743,0.004555367,0.4826905
900,0.55205274,0.6031942,0.005181138,0.44324887
1000,0.5285464,0.55782485,0.006012575,0.40228233
1100,0.50548756,0.5184715,0.006686722,0.3650664
1200,0.4774718,0.4802581,0.007145889,0.32740813
1300,0.43603942,0.43442383,0.007324361,0.28222784
1400,0.36269906,0.36609387,0.006811386,0.21965995
1500,0.26139325,0.27562314,0.0052427626,0.15129524
1600,0.22799829,0.23197196,0.005105347,0.12078601
1700,0.2011844,0.20233445,0.004931799,0.09761663
1800,0.17073524,0.17345959,0.004633546,0.073430784
1900,0.1327559,0.14144623,0.00402242,0.04828509
2000,0.09738128,0.12037866,0.0032788774,0.028524857
2100,0.07065186,0.09887293,0.00247337,0.018711086
2200,0.05004626,0.07921368,0.0017197662,0.013931171
2300,0.035320014,0.06601194,0.0011493401,0.011183875
2400,0.025627814,0.05640062,0.00079005136,0.0090367375
2500,0.019395147,0.049324073,0.00058200606,0.0071730185
2600,0.015282191,0.045333434,0.00045687833,0.005687746
2700,0.012428005,0.04380407,0.0003732235,0.004590312
2800,0.010337404,0.043478537,0.00031122027,0.0038017784
2900,0.008744147,0.043321095,0.0002627625,0.0032261338
3000,0.0074961004,0.042794596,0.00022419324,0.0027880422
