iteration,total,bc,pde,supervised
1,4.764104,1.2663497,0.16777077,1.2409176
100,0.3212625,0.25702375,0.008508394,0.14258625
200,0.25614744,0.21803656,0.006819329,0.11294154
300,0.113679186,0.1349076,0.002859547,0.053628694
400,0.049777444,0.085684925,0.00095256255,0.02977363
500,0.042411305,0.084965594,0.00058788364,0.03006575
600,0.040450208,0.0847123,0.0005105832,0.02972796
700,0.039091792,0.08436302,0.00047628302,0.02908985
800,0.037790995,0.08398683,0.00044836703,0.028375287
900,0.03652651,0.08363219,0.00042159014,0.027673114
1000,0.03531416,0.08331527,0.00039491622,0.02702092
1100,0.034167644,0.08303289,0.00036803228,0.026438965
1200,0.033095,0.0827668,0.00034084474,0.02593726
1300,0.03209709,0.08248101,0.00031347098,0.025514198
1400,0.031173509,0.081956595,0.0002877058,0.025131686
1500,0.030384801,0.08162526,0.00026396677,0.024841499
1600,0.029625466,0.08192549,0.00023728896,0.024642399
1700,0.028819432,0.079851486,0.0002232164,0.024131889
1800,0.027800389,0.07822489,0.00020217478,0.023554718
1900,0.02600063,0.07376984,0.00017782015,0.022266407
2000,0.021519514,0.061999325,0.00012583686,0.01887694
2100,0.018449867,0.050113816,0.00012657783,0.015791733
2200,0.019019019,0.04601063,0.00020850523,0.014640409
2300,0.017403618,0.042909265,0.00017131276,0.013806049
2400,0.017964832,0.042900182,0.0002065097,0.013628128
2500,0.017125465,0.0408744,0.00018633108,0.013212512
2600,0.018497625,0.041118547,0.00025482505,0.0131463
2700,0.01688999,0.039871775,0.00019041829,0.012891205
2800,0.016771566,0.03927251,0.00019353724,0.012707285
2900,0.016681142,0.039248716,0.00019160841,0.012657366
3000,0.016550044,0.038459815,0.0001956184,0.012442057
