iteration,total,bc,pde,supervised
1,20.520945,0.85367477,0.95404464,0.48600718
100,0.58525443,0.8419075,0.0032421323,0.51716965
200,0.5814414,0.83564836,0.0032988633,0.51216525
300,0.5788878,0.830637,0.003378959,0.5079297
400,0.5768423,0.82658696,0.0034393172,0.5046166
500,0.5745,0.8223439,0.0034901046,0.5012078
600,0.57112247,0.8169836,0.003541481,0.49675137
700,0.5652162,0.8089149,0.00359888,0.4896397
800,0.5507126,0.79208887,0.00367095,0.47362265
900,0.48684952,0.7209153,0.004175356,0.39916703
1000,0.4342264,0.6223769,0.0057162507,0.3141851
1100,0.36580172,0.536434,0.0054461104,0.2514334
1200,0.28391218,0.44998887,0.0043728943,0.19208139
1300,0.270803,0.42872882,0.0043606726,0.17922889
1400,0.2630077,0.41824725,0.004273268,0.17326906
1500,0.2541722,0.4023202,0.0042390036,0.16515313
1600,0.2422831,0.3794682,0.004196998,0.15414613
1700,0.22312634,0.34211552,0.0040962286,0.13710554
1800,0.18555792,0.2704184,0.003733228,0.10716013
1900,0.11068468,0.14313379,0.0024160163,0.05994834
2000,0.058309205,0.06693977,0.0015180992,0.02642912
2100,0.04330277,0.051191483,0.0012458173,0.017140608
2200,0.036486648,0.0475081,0.0010547426,0.014337052
2300,0.049691223,0.04572005,0.0017626121,0.012676368
2400,0.028882295,0.044706907,0.00081915036,0.011680136
2500,0.027019713,0.0433043,0.00074842933,0.011302697
2600,0.023059394,0.042669248,0.0006226652,0.009983425
2700,0.020534966,0.0413748,0.0005306529,0.009391255
2800,0.026781894,0.03915886,0.00084709795,0.008992838
2900,0.016198095,0.039640915,0.00038592645,0.00809364
3000,0.017121324,0.036570977,0.00043072415,0.008076117
