iteration,total,bc,pde,supervised
1,25565.092,1.0916377,1217.3713,0.29233596
100,26.8984,0.7363484,1.2695869,0.23707467
200,9.3714285,0.46121186,0.43582147,0.21917725
300,4.296472,0.4151794,0.19427876,0.21661827
400,3.0259657,0.49205792,0.13357864,0.22081418
500,2.5369792,0.60344636,0.11003306,0.22628488
600,2.2612023,0.705373,0.0966881,0.23075227
700,2.0774176,0.7829193,0.08780345,0.23354508
800,1.9354385,0.8358359,0.08098577,0.23473738
900,1.8114076,0.8693291,0.07508217,0.23468202
1000,1.6952257,0.8894286,0.0695931,0.23377056
1100,1.5831977,0.9011228,0.064327024,0.23233023
1200,1.4742736,0.9079315,0.059222583,0.23059928
1300,1.3684442,0.91209817,0.054271754,0.22873741
1400,1.2660892,0.91494733,0.049487714,0.22684716
1500,1.1677188,0.91722137,0.044891752,0.224992
1600,1.073866,0.91931784,0.040507324,0.22321221
1700,0.98499966,0.92143476,0.036355603,0.22153202
1800,0.9015139,0.92365974,0.032454673,0.21996576
1900,0.8237022,0.92601854,0.028818173,0.21852057
2000,0.7517443,0.9285035,0.025454545,0.2171988
2100,0.68572444,0.9310852,0.022367911,0.21599828
2200,0.6256248,0.9337297,0.019557636,0.21491438
2300,0.57171726,0.9364069,0.017037015,0.21393993
2400,0.6629915,0.94768363,0.02152526,0.21096104
2500,0.49239686,0.9476822,0.01344372,0.21007875
2600,0.4566409,0.94828904,0.011776972,0.20932451
2700,2.9976127,0.9667006,0.132905,0.20660752
2800,0.403528,0.9580286,0.009430257,0.20549262
2900,0.38002604,0.95687956,0.008341866,0.20484684
3000,8.128936,0.9581759,0.37736166,0.20434114
