iteration,total,bc,pde,supervised
1,2319.5173,1.7711608,110.43658,0.3491966
100,37.90881,1.0346428,1.790848,0.30100217
200,9.616876,1.4142292,0.44406787,0.2914502
300,5.2182913,1.2064414,0.23543271,0.27420425
400,3.3017755,1.0101538,0.14473094,0.26242578
500,2.181547,0.9232535,0.09159887,0.25797078
600,1.5132993,0.9017824,0.059796087,0.25758144
700,1.1196015,0.90930223,0.040993836,0.25873095
800,0.88994384,0.9259199,0.02999864,0.2599724
900,0.75303364,0.94255334,0.023446638,0.26065424
1000,0.66572976,0.95601356,0.01929141,0.26061013
1100,0.60423636,0.9658001,0.016396401,0.2599119
1200,0.55648017,0.97239244,0.014179321,0.25871444
1300,0.5167138,0.9764922,0.01235887,0.25717753
1400,0.48227045,0.9787535,0.0108017195,0.25543433
1500,0.45187148,0.9796947,0.009442281,0.25358358
1600,251.22911,0.9726562,11.951343,0.25091377
1700,0.40336454,0.98334503,0.0074517378,0.24687806
1800,0.378617,0.9808977,0.006352661,0.24521112
1900,0.36219543,0.9792713,0.00564458,0.24365927
2000,0.53090984,0.98517466,0.01390446,0.2389162
2100,0.3298019,0.979719,0.0043980363,0.23744313
2200,0.31973702,0.9774761,0.0039772405,0.23621498
2300,13.063885,0.9772691,0.6109512,0.23390982
2400,0.29785275,0.9780339,0.003177524,0.23112476
2500,0.2912686,0.9750352,0.0029139542,0.23007555
2600,114.43562,0.9804908,5.4384084,0.22905064
2700,0.2797061,0.97675943,0.0025926128,0.22526123
2800,0.27121592,0.97287863,0.0022322326,0.22433902
2900,0.26851547,0.9714369,0.0021396037,0.22358379
3000,0.30842584,0.9768018,0.0041967253,0.2202946
