iteration,total,bc,pde,supervised
1,66009.95,0.89197344,3143.3198,0.2325947
100,77.13187,0.3483843,3.664393,0.1796132
200,31.375032,0.50998604,1.4853148,0.1834207
300,15.848122,0.84056807,0.7454342,0.19400294
400,9.822721,0.9356117,0.4584762,0.19472013
500,7.095045,0.8457217,0.32894605,0.18717822
600,5.374473,0.69414437,0.24749543,0.17706916
700,4.0840015,0.55616254,0.1864759,0.16800773
800,3.0860007,0.45625752,0.13927726,0.16117801
900,2.3211193,0.39526895,0.103072494,0.15659694
1000,1.7435436,0.36770904,0.07569464,0.15395613
1100,1.314071,0.36773574,0.055292822,0.15292178
1200,0.9997699,0.39003974,0.040313527,0.15318581
1300,0.77357507,0.42949277,0.029482001,0.15445304
1400,0.61357546,0.4809331,0.021768672,0.15643331
1500,0.5022987,0.53929657,0.016354783,0.15884832
1600,0.42605978,0.5999406,0.012600606,0.16144706
1700,0.37439734,0.6589638,0.010017959,0.16402021
1800,0.33950222,0.71341974,0.008242491,0.16640991
1900,0.31573236,0.7613697,0.0070105484,0.16851085
2000,0.2991403,0.8018055,0.0061368765,0.1702659
2100,0.2870456,0.83449036,0.0054946765,0.17165738
2200,0.27770433,0.8597598,0.005000344,0.17269711
2300,0.27002627,0.87831116,0.004600502,0.17341572
2400,0.26334935,0.8910373,0.004261694,0.1738538
2500,0.25729224,0.89888823,0.003963646,0.17405567
2600,0.25164285,0.90277696,0.0036942237,0.17406414
2700,0.24628559,0.90351766,0.0034461033,0.17391741
2800,0.24117048,0.90180314,0.0032153504,0.17364812
2900,2.956737,0.89491266,0.13264702,0.17114937
3000,0.23330486,0.8913763,0.0029854197,0.17061105
