iteration,total,bc,pde,supervised
1,63381.07,1.4759319,3018.1284,0.3739841
100,3.444708,1.2752055,0.14769322,0.34315062
200,1.9178102,1.2496296,0.075066775,0.34140787
300,1.442881,1.1890749,0.052598182,0.3383192
400,1.2450283,1.1145858,0.043345567,0.33477136
500,1.1098177,1.0454038,0.037059747,0.3315631
600,1.0024154,0.9886401,0.032068018,0.32898712
700,0.91533655,0.9452454,0.028012518,0.3270737
800,0.84377223,0.9140371,0.024667442,0.32575595
900,0.78397703,0.8931329,0.021859314,0.32493147
1000,0.73327935,0.8804811,0.019466229,0.32448858
1100,0.689939,0.8741253,0.017410392,0.3243208
1200,0.6527524,0.87235975,0.015638987,0.3243337
1300,0.62085366,0.87378615,0.014114508,0.324449
1400,0.59352446,0.8773178,0.012805611,0.3246066
1500,0.5701171,0.8821441,0.011683667,0.32476014
1600,0.55003315,0.88767534,0.010721737,0.32487667
1700,0.5327391,0.8934967,0.009895496,0.32493368
1800,0.51773834,0.8993109,0.0091820145,0.324916
1900,0.5046141,0.90491515,0.008561845,0.3248154
2000,0.49300024,0.91016006,0.008017751,0.32462746
2100,0.48259723,0.9149494,0.0075355223,0.32435128
2200,0.47315717,0.91921484,0.0071032792,0.3239883
2300,0.46449196,0.9229129,0.006711937,0.32354128
2400,0.45645487,0.9260336,0.0063542756,0.3230151
2500,0.44893277,0.92857915,0.0060246293,0.32241556
2600,0.44184005,0.9305651,0.00571862,0.32174903
2700,0.43512756,0.9320266,0.0054336083,0.32102177
2800,0.42875764,0.93300605,0.005167477,0.32024062
2900,0.42280084,0.93355066,0.0049232505,0.31941256
3000,0.42724246,0.91610384,0.005426339,0.31328934
