iteration,total,bc,pde,supervised
1,100871.48,0.1883846,4803.3945,0.1956304
100,20.302643,0.13991933,0.95775896,0.18970498
200,7.488462,0.11312738,0.34791377,0.18227306
300,3.802254,0.09446671,0.17245257,0.18075016
400,2.5008097,0.12553589,0.11039487,0.18251725
500,1.8348205,0.20013505,0.07850561,0.18620266
600,1.4114566,0.30946484,0.058095362,0.19145395
700,1.1205239,0.43990844,0.043943927,0.19770151
800,0.91995853,0.5749672,0.034084324,0.20418775
900,0.78386354,0.7001504,0.027316388,0.21021935
1000,0.6921494,0.8058554,0.022705808,0.21532746
1100,0.6295277,0.88764215,0.019535098,0.21929061
1200,0.5852716,0.9451845,0.017294496,0.22208716
1300,0.5524109,0.9808838,0.01564679,0.2238283
1400,0.5267205,0.9985908,0.014382099,0.22469643
1500,0.5057652,1.0026177,0.013374684,0.22489682
1600,0.48815635,0.99705744,0.012549161,0.22462398
1700,0.47310385,0.9854093,0.011859984,0.22404419
1800,0.46009594,0.9704227,0.011276582,0.22328773
1900,0.4487738,0.9541172,0.01077738,0.2224488
2000,0.43885267,0.9378687,0.010345757,0.22159176
2100,0.4300791,0.922544,0.009967809,0.22075512
2200,0.4222422,0.90862876,0.009632482,0.21996006
2300,0.4151604,0.89634204,0.009330775,0.21921413
2400,0.4086762,0.88572526,0.0090552,0.21851699
2500,0.40266043,0.8767101,0.008799897,0.21786259
2600,0.39701054,0.86915994,0.008560412,0.21724188
2700,0.39164078,0.86291295,0.008333141,0.21664481
2800,0.38648766,0.8577905,0.008115577,0.21606056
2900,0.38149834,0.853614,0.007905722,0.21547817
3000,0.37662968,0.8502118,0.007702004,0.21488759
