iteration,total,bc,pde,supervised
1,20302.559,1.2825855,966.7792,0.19608974
100,14.112343,0.90312296,0.66393846,0.1696349
200,3.2840395,1.1946669,0.14825213,0.1707449
300,1.2579569,1.2553649,0.05185074,0.1690913
400,0.88306904,1.194401,0.03420454,0.16477369
500,0.7479465,1.1269126,0.02795896,0.16080834
600,0.6700022,1.0820451,0.024381757,0.15798534
700,0.6137453,1.056805,0.021793665,0.15607832
800,0.5682055,1.0438823,0.019690096,0.15471348
900,0.5287671,1.0377538,0.017864948,0.1536032
1000,0.49311286,1.0350281,0.016215973,0.15257742
1100,0.46003672,1.0338539,0.014689444,0.1515584
1200,0.42896992,1.0333163,0.013259283,0.15052497
1300,0.39971402,1.0330081,0.011915718,0.14948395
1400,0.37224472,1.0327584,0.0106568085,0.14845173
1500,0.34661654,1.0325035,0.00948436,0.14744498
1600,0.32288596,1.0322156,0.008400418,0.1464772
1700,0.3010957,1.0318823,0.007406569,0.14555775
1800,0.28125525,1.0314994,0.006502977,0.1446927
1900,0.2633305,1.031063,0.0056878906,0.14388478
2000,0.24727303,1.0305697,0.004958998,0.14313407
2100,0.23299779,1.0300218,0.0043122917,0.14243966
2200,0.22039226,1.0294175,0.0037425444,0.14179882
2300,4.564375,1.0298156,0.21064112,0.14091161
2400,0.19731006,1.0286326,0.0027566426,0.13942057
2500,0.19030692,1.0275836,0.0024428805,0.13900642
2600,0.18432729,1.0269217,0.0021762813,0.13862538
2700,5.0424533,1.0251694,0.2335918,0.13702543
2800,0.17254905,1.0249147,0.0017108738,0.1366207
2900,0.16901231,1.0242308,0.0015547727,0.13636208
3000,0.16597474,1.0236946,0.0014218886,0.13611507
